Greedy          लालची
Spoil           खराब कर देना/बिगाड़ देना
Expect          उम्मीद लगाना/आशा करना
Hesitate        संकोच करना/हिचकिचाना
Admire          प्रशंसा करना/तारीफ करना
Guide           मार्गदर्शन करना/रास्ता दिखाना
Nap 2 - 3 hours     दिन मे 2 - 3 घंटे सोना
Reach           पहुंचना
After           के बाद
Before          के पहले
Serve           सेवा करना
Affection       स्नेह/मोह
Stil            फिर भी/अभी तक
Artificial      बनावटी/झूठा
Opposite        विपरीत/उल्टा
Let             अनुमति देना/होने देना
Spend           खर्च करना/बिताना
Serious         गंभीर/चिंताजनक
Right here      यहीं/इसी जगह
Shameless       निरल्लज/बेशर्म
Evident         प्रत्यक्ष/स्पष्ट/जाहिर
Proficient      कुशल/दक्ष/निपुण
Forgive         माफ करना/क्षमा करना
Approximate     लगभग/अनुमानित
Tolerate        बर्दाश्त करना/सहन करना
Delicate        नाजुक/कोमल/संवेदनशील
Convenient      सुविधाजनक/आरामदायक
Sneeze          छींकना
Dull            सुस्त/आलसी
Natter          गुन-गुनाना
idea            योजना/विचार
Civilized       सभ्य/शिब्ट
Deceive         धोखा देना
Intention       इरादा/नीयत
Impressive      प्रभावशाली
Wish            इच्छा/कामना करना
Always          हमेशा/सदैव/सदा
Apologize       माफी मांगना
Already         पहले ही/पहले से
Prediction          भविष्यवाणी
Majority ( मेजोरिटी )     बहुमत
Crack finger    ऊँगली चटकाना
Wait            इंतजार करना/प्रतीक्षा करना
Leisure         फुर्सत/आराम/खाली समय
Snapping the fingers  चुटकी बजाना
Although ( आलदो )      हालांकि/फिर भी
Short-tempered      गुस्सैल/चिड़चिड़ा/तुनुकमिजाज
Again           पुनः/फिर
Extent           हद/सीमा
Durable         टिकाऊ/स्थायी
Again & Again   बार बार
Biting nails    नाखून चबाना
Sieve the tea   चाय छानना
Liability       दायित्व/जिम्मेदारी
Scratch head     शिर खुजाना
Hardly          मुश्किल से/शायद ही
Abnormal        असामान्य/अनुचित
Dispute         मतभेद/विवाद/झगड़ा
Against         के विरुद्ध/के खिलाफ
Repent          पछताना/पछतावा करना
Superior        बेहतर/श्रेब्ठतर/उच्चतर
Apt ( ऐप्ट )       उपयुक्त/योग्य/लायक
Agitation        व्याकुलता/घबराहट/बेचैनी
Nourish ( नरिश )  पालन पोषण करना
Slightly        कुछ हद तक/थोड़ा सा/जरा सा
Retrieve        पुनः प्राप्त करना/वापस पा लेना
Provoke         भड़काना/उकसाना/उत्तेजित करना
Misguide        रास्ता भटकाना/गुमराह करना/बहकाना
Riff-raff       ऐसा-वैसा
Dick and herry  ऐरा-गैरा
Rolling stone   बेपैंदी का लोटा
Talk nonsense   बेकार की बात
Sum and substance  कुल मिलाकर
Face to face    आमने सामने
Ups and downs   उतार चढाव
Day to Day      रोजाना/रोजमर्रा का
Give up         हार मान लेना/त्याग देना
All in all      सब मिलाकर/कुल मिलाकर
Anyway          खैर/वैसे भी
Frankly         साफ साफ/खुलकर
Oh ! i see      अरे ! अब मै समझा
By the way      वैसे/चलो ये बताओ...
By chance       इतेफाक से/संयोग से/मान लो कि
Hardly          मुश्किल से
Actually        असल में/वास्तव में
Basically       मूल रूप से/खास तौर पर
Honestly        ईमानदारी से/ईमानदारीपूर्वक
Exactly         एकदम सही सही/ठीक ठीक/बिल्कुल सही
At once         तुरंत
At times        कभी-कभी
At all          थोड़ा सा भी/बिल्कुल भी
Aware of        जानकारी होना ( किसी चीज का )
Anonymous(एनाँनिमस)  गुमनाम/बेनाम ( कोई चीज )
Easy            आसान
Easily          आसानी से
Final           अंतिम/आखरी
Finally         आखिरकार
Sudden          अचानक
Suddenly        अचानक से
Patience        धैर्य/सब्र
Patiently       धैर्य से/सब्र से
Correct         सही
Correctly       सही तरीके से
Common          आम बात
Commonly        आम तौर पर
Most            सबसे ज्यादा
Mostly          ज्यादा दर/अधिकतर
Direct.         सीधा/सीधे
Directly.       सीधे ही/सीधे तरीके से
Rude(रूड)        बदतमीज
Rudely          बदतमीजी से
Quick           शीध्र/तेज/तीव्र
Quickly.        शीध्रता से/तेजी से
Ghost           भूत
Ghostly         भूतों वाला/भूतों जैसा
Careful         सावधान/फिक्रमंद
Carefully       सावधानी से/ध्यान से
Main            मुख्य/खास
Mainly          मुख्य रूप से/खास तौर पर
Recent          हाल ही का/ताजा
Recently        हाल ही में/थोड़ी देर पहले
Comfortable     आरामदायक/सुखद
Comfortably     आराम से/चैन से
Fortunately     किस्मत से/भाग्य से
Unfortunately   बदकिस्मती से/दुर्भाग्य से
Normal          मामूली/साधारण
Normally        मामूली तौर पर/साधारण तरीके से
Temporary       अस्थाई/कुछ ही देर का
Temporarily     अस्थाई रूप से/कुछ ही देर के लिए
